"Site","NMDS1","NMDS2"
"Ledyanaya Gora","-0.378824194406435","-0.553818554321523"
"Karaul village","0.595468675585353","-0.24456444070034"
"Ladyginskie Yary ","-0.089628400225378","0.521511444774794"
"Sopochnaya Karga  ","-0.432838656384515","-0.113378379283045"
"Sibiryakov Island, Srednee Lake","0.587439540377431","0.0499383958492364"
"Chernyi Bay","-0.281616964946455","0.340311533680877"
